date,rainfall_mm,depth_to_groundwater_m,temperature_C,drainage_m3,river_hydrometry_m
14/03/2006,,-22.18,,,
15/03/2006,,-22.14,,,
16/03/2006,,-22.04,,,
17/03/2006,,-22.04,,,
18/03/2006,,-22.04,,,
19/03/2006,,-21.95,,,
20/03/2006,,-21.99,,,
21/03/2006,,-21.89,,,
22/03/2006,,-21.82,,,
23/03/2006,,-21.89,,,
24/03/2006,,-21.89,,,
25/03/2006,,-21.82,,,
26/03/2006,,-21.79,,,
27/03/2006,,-21.83,,,
28/03/2006,,-21.75,,,
29/03/2006,,-21.81,,,
30/03/2006,,-21.84,,,
31/03/2006,,-21.87,,,
01/04/2006,,-21.9,,,
02/04/2006,,-21.83,,,
03/04/2006,,-21.88,,,
04/04/2006,,-21.89,,,
05/04/2006,,-21.79,,,
06/04/2006,,-21.73,,,
07/04/2006,,-21.73,,,
08/04/2006,,-21.74,,,
09/04/2006,,-21.75,,,
10/04/2006,,-21.58,,,
11/04/2006,,-21.46,,,
12/04/2006,,-21.44,,,
13/04/2006,,-21.45,,,
14/04/2006,,-21.52,,,
15/04/2006,,-21.52,,,
16/04/2006,,-21.32,,,
17/04/2006,,-21.37,,,
18/04/2006,,-21.44,,,
19/04/2006,,-21.57,,,
20/04/2006,,-21.69,,,
21/04/2006,,-21.71,,,
22/04/2006,,-21.69,,,
23/04/2006,,-21.61,,,
24/04/2006,,-21.67,,,
25/04/2006,,-21.55,,,
26/04/2006,,-21.58,,,
27/04/2006,,-21.59,,,
28/04/2006,,-21.56,,,
29/04/2006,,-21.56,,,
30/04/2006,,-21.51,,,
01/05/2006,,-21.5,,,
02/05/2006,,-21.61,,,
03/05/2006,,-21.63,,,
04/05/2006,,-21.68,,,
05/05/2006,,-21.7,,,
06/05/2006,,-21.7,,,
07/05/2006,,-21.67,,,
08/05/2006,,-21.64,,,
09/05/2006,,-21.53,,,
10/05/2006,,-21.52,,,
11/05/2006,,-21.57,,,
12/05/2006,,-21.6,,,
13/05/2006,,-21.65,,,
14/05/2006,,-21.58,,,
15/05/2006,,-21.53,,,
16/05/2006,,-21.57,,,
17/05/2006,,-21.61,,,
18/05/2006,,-21.66,,,
19/05/2006,,-21.59,,,
20/05/2006,,-21.56,,,
21/05/2006,,-21.55,,,
22/05/2006,,-21.55,,,
23/05/2006,,-21.63,,,
24/05/2006,,-21.61,,,
25/05/2006,,-21.61,,,
26/05/2006,,-21.64,,,
27/05/2006,,-21.7,,,
28/05/2006,,-21.65,,,
29/05/2006,,-21.59,,,
30/05/2006,,-21.61,,,
31/05/2006,,-21.61,,,
01/06/2006,,-21.65,,,
02/06/2006,,-21.53,,,
03/06/2006,,-21.48,,,
04/06/2006,,-21.48,,,
05/06/2006,,-21.54,,,
06/06/2006,,-21.56,,,
07/06/2006,,-21.61,,,
08/06/2006,,-21.7,,,
09/06/2006,,-21.77,,,
10/06/2006,,-21.83,,,
11/06/2006,,-21.87,,,
12/06/2006,,-21.84,,,
13/06/2006,,-21.93,,,
14/06/2006,,-21.99,,,
15/06/2006,,-22.06,,,
16/06/2006,,-22.14,,,
17/06/2006,,-22.14,,,
18/06/2006,,-22.1,,,
19/06/2006,,-22.1,,,
20/06/2006,,-22.17,,,
21/06/2006,,-22.26,,,
22/06/2006,,-22.33,,,
23/06/2006,,-22.41,,,
24/06/2006,,-22.54,,,
25/06/2006,,-22.59,,,
26/06/2006,,-22.61,,,
27/06/2006,,-22.67,,,
28/06/2006,,-22.76,,,
29/06/2006,,-22.8,,,
30/06/2006,,-22.85,,,
01/07/2006,,-22.88,,,
02/07/2006,,-22.9,,,
03/07/2006,,-22.85,,,
04/07/2006,,-22.92,,,
05/07/2006,,-23.02,,,
06/07/2006,,-23.09,,,
07/07/2006,,-22.99,,,
08/07/2006,,-22.9,,,
09/07/2006,,-22.9,,,
10/07/2006,,-22.88,,,
11/07/2006,,-23.08,,,
12/07/2006,,-23.13,,,
13/07/2006,,-23.22,,,
14/07/2006,,-23.34,,,
15/07/2006,,-23.43,,,
16/07/2006,,-23.42,,,
17/07/2006,,-23.45,,,
18/07/2006,,-23.52,,,
19/07/2006,,-23.57,,,
20/07/2006,,-23.66,,,
21/07/2006,,-23.7,,,
22/07/2006,,-23.73,,,
23/07/2006,,-23.63,,,
24/07/2006,,-23.48,,,
25/07/2006,,-23.46,,,
26/07/2006,,-23.53,,,
27/07/2006,,-23.59,,,
28/07/2006,,-23.68,,,
